trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
23,TT,Biological_E,1,2,2,0.0
23,TT,Biological_E,1,2,1,0.0
23,TT,Biological_E,1,3,2,0.0
23,TT,Biological_E,1,3,1,0.0
23,TT,Biological_E,1,1,2,0.0
23,TT,Biological_E,1,1,1,0.0
23,TT,PT_Bio,5,5,2,0.0
23,TT,PT_Bio,5,5,1,0.0
23,TT,PT_Bio,5,6,2,0.0
23,TT,PT_Bio,5,6,1,0.0
23,TT,PT_Bio,5,7,2,0.0
23,TT,PT_Bio,5,7,1,1.4551915228366852e-11
23,TT,PT_Bio,5,9,2,0.0
23,TT,PT_Bio,5,9,1,34732.0
23,TT,PT_Bio,5,8,2,0.0
23,TT,PT_Bio,5,8,1,3022.0
23,TT,PT_Bio,4,5,2,0.0
23,TT,PT_Bio,4,5,1,0.0
23,TT,PT_Bio,4,4,2,0.0
23,TT,PT_Bio,4,4,1,0.0
23,TT,PT_Bio,4,6,2,0.0
23,TT,PT_Bio,4,6,1,1.4551915228366852e-11
23,TT,PT_Bio,4,7,2,0.0
23,TT,PT_Bio,4,7,1,0.0
23,TT,PT_Bio,4,8,2,0.0
23,TT,PT_Bio,4,8,1,3022.0
23,TT,PT_Bio,6,6,2,0.0
23,TT,PT_Bio,6,6,1,0.0
23,TT,PT_Bio,6,7,2,0.0
23,TT,PT_Bio,6,7,1,0.0
23,TT,PT_Bio,6,10,2,0.0
23,TT,PT_Bio,6,10,1,60100.0
23,TT,PT_Bio,6,9,2,0.0
23,TT,PT_Bio,6,9,1,34732.0
23,TT,PT_Bio,6,8,2,0.0
23,TT,PT_Bio,6,8,1,3022.0000000000146
23,TT,PT_Bio,7,7,2,0.0
23,TT,PT_Bio,7,7,1,0.0
23,TT,PT_Bio,7,10,2,0.0
23,TT,PT_Bio,7,10,1,60100.0
23,TT,PT_Bio,7,9,2,0.0
23,TT,PT_Bio,7,9,1,34732.00000000003
23,TT,PT_Bio,7,8,2,0.0
23,TT,PT_Bio,7,8,1,3022.0
23,TT,PT_Bio,2,5,2,0.0
23,TT,PT_Bio,2,5,1,0.0
23,TT,PT_Bio,2,4,2,0.0
23,TT,PT_Bio,2,4,1,7.275957614183426e-12
23,TT,PT_Bio,2,6,2,0.0
23,TT,PT_Bio,2,6,1,0.0
23,TT,PT_Bio,2,2,2,0.0
23,TT,PT_Bio,2,2,1,0.0
23,TT,PT_Bio,2,3,2,0.0
23,TT,PT_Bio,2,3,1,0.0
23,TT,PT_Bio,10,10,2,0.0
23,TT,PT_Bio,10,10,1,25368.0
23,TT,PT_Bio,9,10,2,0.0
23,TT,PT_Bio,9,10,1,57078.0
23,TT,PT_Bio,9,9,2,0.0
23,TT,PT_Bio,9,9,1,31710.0
23,TT,PT_Bio,8,10,2,0.0
23,TT,PT_Bio,8,10,1,60100.0
23,TT,PT_Bio,8,9,2,0.0
23,TT,PT_Bio,8,9,1,34732.0
23,TT,PT_Bio,8,8,2,0.0
23,TT,PT_Bio,8,8,1,3022.0
23,TT,PT_Bio,3,5,2,0.0
23,TT,PT_Bio,3,5,1,1.4551915228366852e-11
23,TT,PT_Bio,3,4,2,0.0
23,TT,PT_Bio,3,4,1,0.0
23,TT,PT_Bio,3,6,2,0.0
23,TT,PT_Bio,3,6,1,0.0
23,TT,PT_Bio,3,7,2,0.0
23,TT,PT_Bio,3,7,1,0.0
23,TT,PT_Bio,3,3,2,0.0
23,TT,PT_Bio,3,3,1,0.0
23,TT,PT_Bio,1,5,2,0.0
23,TT,PT_Bio,1,5,1,0.0
23,TT,PT_Bio,1,4,2,0.0
23,TT,PT_Bio,1,4,1,0.0
