unit,values,type,pair_idx,pair,pair_probability
PCV,"[217304000 262275300 327108600 328942400 372129800 353796500 370562100
 492289800 466028200 179323800]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Pertussis,"[330913600 348707600 372077900 358905200 359328000 361641600 392197100
 366714000 428874500 446770700]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Polio,"[674623000 620549000 675000300 664288500 754280400 831403500 798232300
 929329300 980424200 648707300]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Rotavirus,"[185622400 219556000 256011100 228026000 455555300 366778100 385080400
 482266900 714517200 1041382600]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Rubella,"[375199800 541952100 425153100 568072300 445714300 717977700 625043900
 769890300 719103700 840127000]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Tetanus,"[609169300 660966800 613254200 610941500 740616500 723857000 682591200
 680463400 718420600 828807600]",antigen,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
AJ_Vaccines,"[7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0
 7711003.0 7711003.0 7711003.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
BB_NCIPD,"[39223956.0 39223956.0 39223956.0 39223956.0 39223956.0 39223956.0
 39223956.0 39223956.0 39223956.0 39223956.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Bharat_Biotech,"[61029105.0 61029105.0 61029105.0 61029105.0 61029105.0 61029105.0
 61029105.0 61029105.0 61029105.0 61029105.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Bilthoven,"[12048153.0 12048153.0 12048153.0 12048153.0 12048153.0 12048153.0
 12048153.0 12048153.0 12048153.0 12048153.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Biological_E,"[164885690.0 164885690.0 164885690.0 164885690.0 164885690.0 164885690.0
 164885690.0 164885690.0 164885690.0 164885690.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
China_National,"[12812242.0 12812242.0 12812242.0 12812242.0 12812242.0 12812242.0
 12812242.0 12812242.0 12812242.0 12812242.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
GSK,"[226762686.0 226762686.0 226762686.0 226762686.0 226762686.0 226762686.0
 226762686.0 226762686.0 226762686.0 226762686.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Haffkine_Bio,"[80972855.0 80972855.0 80972855.0 80972855.0 80972855.0 80972855.0
 80972855.0 80972855.0 80972855.0 80972855.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
LG_Chem,"[43702188.0 43702188.0 43702188.0 43702188.0 43702188.0 43702188.0
 43702188.0 43702188.0 43702188.0 43702188.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Merck_Sharp,"[56991052.0 56991052.0 56991052.0 56991052.0 56991052.0 56991052.0
 56991052.0 56991052.0 56991052.0 56991052.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Panacea_Biotec,"[10874165.0 45911731.0 45911731.0 45911731.0 45911731.0 45911731.0
 45911731.0 45911731.0 45911731.0 45911731.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Pfizer,"[83916974.0 10874165.0 10874165.0 10874165.0 10874165.0 10874165.0
 10874165.0 10874165.0 10874165.0 10874165.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
PT_Bio,"[45911731.0 83916974.0 83916974.0 83916974.0 83916974.0 83916974.0
 83916974.0 83916974.0 83916974.0 83916974.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Sanofi,"[87429432.0 87429432.0 87429432.0 87429432.0 87429432.0 87429432.0
 87429432.0 87429432.0 87429432.0 87429432.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Serum_Institute,"[587114096.0 587114096.0 587114096.0 587114096.0 587114096.0 587114096.0
 587114096.0 587114096.0 587114096.0 587114096.0]",manufacturer,2,Demand: 28 - Capacity: base_capacity,0.3614895593217438
Diphtheria,"[596906900 558336500 812533400 660834400 686912400 1059413800 1410783900
 1252908300 953910300 1577938400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
HPV,"[29278100 34529800 41314600 46831600 52100600 61799200 68661300 71927100
 88594400 94993400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Hepatitis_B,"[361450400 362974100 358595100 337610100 315879700 420871000 416656000
 397573900 513788700 311250900]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Hib,"[316577600 321711600 337724800 323457000 360463500 375263500 362984500
 401432800 409140000 453740700]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Measles,"[558200700 568584000 470701300 569931600 693752000 880470900 794733300
 944858600 1111350000 635813500]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Mumps,"[22927300 20932900 31158300 29486900 34069800 45473700 44507600 44743800
 56776500 52293200]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
PCV,"[229980600 255538100 322750600 318306500 363296300 369410900 285323300
 435396500 470226400 530917400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Pertussis,"[357621300 377952200 350446900 353376700 336929700 391426500 366153900
 441004100 330439000 377938400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Polio,"[594500300 683925100 716534600 768555600 645396200 685236300 734718200
 992189000 1016570100 1182731700]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Rotavirus,"[185622400 219556000 256011100 228026000 455555300 366778100 385080400
 482266900 714517200 1041382600]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Rubella,"[375199800 541952100 425153100 568072300 445714300 717977700 625043900
 769890300 719103700 840127000]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
