antigen,demand,probability,sid,demand_scenario,demand_scenario_probability
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,1,0.030238804048615522
HPV,"[26509800, 35593800, 41761900, 46914800, 51357500, 59171600, 66488200, 73483500, 84634900, 80794100]",0.31000000000000005,HPV_S3,1,0.030238804048615522
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.21800000000000008,Hepatitis_B_S1,1,0.030238804048615522
Hib,"[308462400, 308564000, 317849200, 348113400, 353835500, 364190100, 361704000, 387351100, 363068900, 408753500]",0.2480000000000001,Hib_S1,1,0.030238804048615522
Measles,"[520688600, 599384600, 741765500, 584291600, 610795400, 751325700, 699010900, 831020100, 825941600, 1061105100]",0.29200000000000004,Measles_S1,1,0.030238804048615522
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,1,0.030238804048615522
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.2520000000000001,PCV_S3,1,0.030238804048615522
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.30400000000000005,Pertussis_S1,1,0.030238804048615522
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.21200000000000008,Polio_S3,1,0.030238804048615522
Rotavirus,"[229454700, 235817300, 294116200, 205158400, 361673800, 442510100, 369726600, 502021600, 283587800, 884340400]",0.21800000000000008,Rotavirus_S4,1,0.030238804048615522
Rubella,"[390927600, 457092000, 573694500, 428027900, 569926600, 637772500, 778011200, 633986300, 266418600, 590737700]",0.18200000000000005,Rubella_S4,1,0.030238804048615522
Tetanus,"[609169300, 660966800, 613254200, 610941500, 740616500, 723857000, 682591200, 680463400, 718420600, 828807600]",0.278,Tetanus_S3,1,0.030238804048615522
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,2,0.019504706413603624
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,2,0.019504706413603624
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.21800000000000008,Hepatitis_B_S1,2,0.019504706413603624
Hib,"[308462400, 308564000, 317849200, 348113400, 353835500, 364190100, 361704000, 387351100, 363068900, 408753500]",0.2480000000000001,Hib_S1,2,0.019504706413603624
Measles,"[396235400, 525423200, 507983700, 478856400, 600172200, 551044600, 684851800, 969568700, 991050500, 1391486700]",0.2220000000000001,Measles_S3,2,0.019504706413603624
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,2,0.019504706413603624
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.2520000000000001,PCV_S3,2,0.019504706413603624
Pertussis,"[355092700, 355017700, 382913500, 346050200, 324302200, 373866000, 390207300, 358433200, 438275500, 333775300]",0.21800000000000008,Pertussis_S4,2,0.019504706413603624
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.21200000000000008,Polio_S3,2,0.019504706413603624
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.2300000000000001,Rotavirus_S1,2,0.019504706413603624
Rubella,"[390927600, 457092000, 573694500, 428027900, 569926600, 637772500, 778011200, 633986300, 266418600, 590737700]",0.18200000000000005,Rubella_S4,2,0.019504706413603624
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.30200000000000005,Tetanus_S1,2,0.019504706413603624
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,3,0.011856266793043451
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.17000000000000004,HPV_S1,3,0.011856266793043451
