model,dimension,category,mean,std,variance,min,max,n
MP-2,total,total,83936400.79999998,588243.9055302558,346030892393.4884,83453215.7,85100656.7,30
MP-2,vaccine,DT,1654025.0333333334,14373.291176074537,206591499.23222214,1647008.0,1724239.0,30
MP-2,vaccine,DTwP,858988.0,0.0,0.0,858988.0,858988.0,30
MP-2,vaccine,DTwP-Hib,85175.04333333335,20068.799830810076,402756726.64912254,1040.2,90497.40000000004,30
MP-2,vaccine,HPV,3721417.785812667,282694.91627992556,79916415690.51411,3247050.0,4150732.0,30
MP-2,vaccine,HepB,60100.00000000031,5.084535803924023e-10,2.585250434138531e-19,60100.0,60100.000000002794,30
MP-2,vaccine,Hexa,1370285.2,3722.91721100537,13860112.560000002,1365031.0,1373788.0,30
MP-2,vaccine,IPV,14991800.842403332,254602.1755144744,64822267776.70323,14924730.0,16230901.961049972,30
MP-2,vaccine,OPV,3677160.6955009927,1428847.8386200564,2041606145929.2068,1978251.7720499951,5918426.0,30
MP-2,vaccine,PCV,1507847.254575666,147438.82057062065,21738205811.255672,1405916.2999999998,2078962.3,30
MP-2,vaccine,Penta,52079836.14518767,1344249.0676225096,1807005555803.986,50192714.0,53875468.0,30
MP-2,vaccine,Rotavirus,2128989.6665196666,197026.45790955043,38819425116.38384,1978320.0,2497792.7,30
MP-2,vaccine,TT,469865.3333333343,11685.937498644947,136561135.22223613,442704.0000000001,477138.00000003044,30
MP-2,vaccine,Td,1330909.8,6544.799779977995,42834404.16000001,1318344.0,1336089.0,30
MP-2,manufacturer,AJ_Vaccines,1266170.0,0.0,0.0,1266170.0,1266170.0,30
MP-2,manufacturer,BB_NCIPD,745723.7666666667,8802.470447487392,77483485.97888888,729911.0,786695.0,30
MP-2,manufacturer,Bharat_Biotech,1675884.6666666667,257771.628419852,66446212418.222244,1481580.0,2123060.0,30
MP-2,manufacturer,Bilthoven,604250.0,0.0,0.0,604250.0,604250.0,30
MP-2,manufacturer,Biological_E,8155637.0,0.0,0.0,8155637.0,8155637.0,30
MP-2,manufacturer,China_National,1754147.0666666667,46832.63999885361,2193296169.262223,1697426.0,1902994.0,30
MP-2,manufacturer,GSK,4492154.666666667,306943.0350160904,94214026744.88889,4255960.0,5064200.0,30
MP-2,manufacturer,Haffkine_Bio,84177.33333333333,9488.78739472132,90037086.2222222,81200.0,121800.0,30
MP-2,manufacturer,LG_Chem,34334700.0,4.904572580787415e-09,2.4054832200211726e-17,34334699.999999985,34334700.00000002,30
MP-2,manufacturer,Merck_Sharp,454828.0,21728.188511700646,472114176.0,398860.0,478540.0,30
MP-2,manufacturer,PT_Bio,9682120.0,10779.327251734672,116193895.99998976,9677891.999999998,9709602.000000006,30
MP-2,manufacturer,Panacea_Biotec,17863671.666666668,28964.057276025396,838916613.8888797,17830549.999999993,17889000.00000002,30
MP-2,manufacturer,Pfizer,596410.0,0.0,0.0,596410.0,596410.0,30
MP-2,manufacturer,Sanofi,1484343.9333333333,2445.223833426207,5979119.595555554,1471176.0,1484798.0,30
MP-2,manufacturer,Serum_Institute,742182.6999999997,2.3379875861406433e-10,5.466185952947751e-20,742182.6999999997,742182.7000000001,30
UG-Penta Hexa,total,total,41278775.23735551,688437.7735718164,473946568080.51953,39985378.21532077,42166352.501373425,30
UG-Penta Hexa,vaccine,DT,644243.6781033332,39107.36116523316,1529385697.3079867,538684.4068199997,692005.0,30
UG-Penta Hexa,vaccine,DTwP,383389.0568266667,123877.43720389843,15345619448.205797,196744.42439000003,661393.6,30
UG-Penta Hexa,vaccine,DTwP-Hib,307777.4823333333,15986.104172434185,255555526.61191767,280213.1200000001,343266.0,30
UG-Penta Hexa,vaccine,HPV,57681.21311771023,32682.96595494562,1068176263.6121345,0.7815364926806744,134192.08565364507,30
UG-Penta Hexa,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-Penta Hexa,vaccine,Hexa,566400.8,1333.9921139197188,1779534.9600000002,564767.0,567490.0,30
UG-Penta Hexa,vaccine,IPV,8535096.827165667,335426.07690908376,112510653070.61858,7683922.57441,8848010.0,30
UG-Penta Hexa,vaccine,OPV,3186028.9631115673,423748.2176814043,179562551988.1668,2670523.0,3975034.344410001,30
UG-Penta Hexa,vaccine,PCV,2.7959392353125856,0.0036731581185936698,1.3492090564190588e-05,2.7952571469735754,2.8157197971438777,30
UG-Penta Hexa,vaccine,Penta,25032606.48525466,151310.47159431377,22894858814.093636,24668324.5,25250658.0,30
UG-Penta Hexa,vaccine,Rotavirus,648615.4586376667,90383.72199755591,8169217202.131474,517530.0,786740.0,30
UG-Penta Hexa,vaccine,TT,299969.42132633337,84993.58318872073,7223909183.257991,213651.0,463032.0,30
UG-Penta Hexa,vaccine,Td,1616963.055539333,92112.17590882821,8484652950.658914,1380602.0,1806238.3499999999,30
UG-Penta Hexa,manufacturer,AJ_Vaccines,910140.7208136667,31824.599431008155,1012805128.9441247,767300.0,918500.0,30
UG-Penta Hexa,manufacturer,BB_NCIPD,381263.66772866674,22215.09225424195,493510323.86448073,333606.0,413330.0318600002,30
UG-Penta Hexa,manufacturer,Bharat_Biotech,759225.3333333334,77701.00607385265,6037446344.888887,647940.0,825820.0,30
UG-Penta Hexa,manufacturer,Bilthoven,423780.41914699995,667.7928249005682,445947.25698868104,420600.0,423950.0,30
UG-Penta Hexa,manufacturer,Biological_E,3646681.533333333,44131.12848374605,1947556501.2489016,3523690.9999999995,3688462.0000000014,30
UG-Penta Hexa,manufacturer,China_National,442918.1171014856,23443.80652638184,549612064.4464236,414460.01065364503,498234.01065364503,30
UG-Penta Hexa,manufacturer,GSK,693185.3333333334,41036.252162637305,1683973991.555555,659930.0,769340.0,30
