trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
18,Penta,Panacea_Biotec,6,7,2,0.0
18,Penta,Panacea_Biotec,6,7,1,0.0
18,Penta,Panacea_Biotec,6,10,2,0.0
18,Penta,Panacea_Biotec,6,10,1,0.0
18,Penta,Panacea_Biotec,6,9,2,0.0
18,Penta,Panacea_Biotec,6,9,1,0.0
18,Penta,Panacea_Biotec,6,8,2,0.0
18,Penta,Panacea_Biotec,6,8,1,0.0
18,Penta,Panacea_Biotec,7,7,2,96900.0
18,Penta,Panacea_Biotec,7,7,1,0.0
18,Penta,Panacea_Biotec,7,10,2,387600.0
18,Penta,Panacea_Biotec,7,10,1,0.0
18,Penta,Panacea_Biotec,7,9,2,290700.0
18,Penta,Panacea_Biotec,7,9,1,0.0
18,Penta,Panacea_Biotec,7,8,2,193800.0
18,Penta,Panacea_Biotec,7,8,1,0.0
18,Penta,Panacea_Biotec,2,5,2,376050.0
18,Penta,Panacea_Biotec,2,5,1,0.0
18,Penta,Panacea_Biotec,2,4,2,290700.0
18,Penta,Panacea_Biotec,2,4,1,0.0
18,Penta,Panacea_Biotec,2,6,2,472950.0
18,Penta,Panacea_Biotec,2,6,1,0.0
18,Penta,Panacea_Biotec,2,2,2,96900.0
18,Penta,Panacea_Biotec,2,2,1,0.0
18,Penta,Panacea_Biotec,2,3,2,193800.0
18,Penta,Panacea_Biotec,2,3,1,0.0
18,Penta,Panacea_Biotec,10,10,2,96900.0
18,Penta,Panacea_Biotec,10,10,1,0.0
18,Penta,Panacea_Biotec,9,10,2,193800.0
18,Penta,Panacea_Biotec,9,10,1,0.0
18,Penta,Panacea_Biotec,9,9,2,96900.0
18,Penta,Panacea_Biotec,9,9,1,0.0
18,Penta,Panacea_Biotec,8,10,2,0.0
18,Penta,Panacea_Biotec,8,10,1,0.0
18,Penta,Panacea_Biotec,8,9,2,0.0
18,Penta,Panacea_Biotec,8,9,1,0.0
18,Penta,Panacea_Biotec,8,8,2,0.0
18,Penta,Panacea_Biotec,8,8,1,0.0
18,Penta,Panacea_Biotec,3,5,2,279150.0
18,Penta,Panacea_Biotec,3,5,1,0.0
18,Penta,Panacea_Biotec,3,4,2,193800.0
18,Penta,Panacea_Biotec,3,4,1,0.0
18,Penta,Panacea_Biotec,3,6,2,376050.0
18,Penta,Panacea_Biotec,3,6,1,0.0
18,Penta,Panacea_Biotec,3,7,2,472950.0
18,Penta,Panacea_Biotec,3,7,1,0.0
18,Penta,Panacea_Biotec,3,3,2,96900.0
18,Penta,Panacea_Biotec,3,3,1,0.0
18,Penta,Panacea_Biotec,1,5,2,0.0
18,Penta,Panacea_Biotec,1,5,1,0.0
18,Penta,Panacea_Biotec,1,4,2,0.0
18,Penta,Panacea_Biotec,1,4,1,0.0
18,Penta,Panacea_Biotec,1,2,2,0.0
18,Penta,Panacea_Biotec,1,2,1,0.0
18,Penta,Panacea_Biotec,1,3,2,0.0
18,Penta,Panacea_Biotec,1,3,1,0.0
