model,dimension,category,mean,std,variance,min,max,n
UG _ Penta Hexa,vaccine,Hexa,566400.8,1333.9921139197188,1779534.9600000002,564767.0,567490.0,30
UG _ Penta Hexa,vaccine,IPV,8535096.827165667,335426.07690908376,112510653070.61858,7683922.57441,8848010.0,30
UG _ Penta Hexa,vaccine,OPV,3186028.9631115673,423748.2176814043,179562551988.1668,2670523.0,3975034.344410001,30
UG _ Penta Hexa,vaccine,PCV,2.7959392353125856,0.0036731581185936698,1.3492090564190588e-05,2.7952571469735754,2.8157197971438777,30
UG _ Penta Hexa,vaccine,Penta,25032606.48525466,151310.47159431377,22894858814.093636,24668324.5,25250658.0,30
UG _ Penta Hexa,vaccine,Rotavirus,648615.4586376667,90383.72199755591,8169217202.131474,517530.0,786740.0,30
UG _ Penta Hexa,vaccine,TT,299969.42132633337,84993.58318872073,7223909183.257991,213651.0,463032.0,30
UG _ Penta Hexa,vaccine,Td,1616963.055539333,92112.17590882821,8484652950.658914,1380602.0,1806238.3499999999,30
UG _ Penta Hexa,manufacturer,AJ_Vaccines,910140.7208136667,31824.599431008155,1012805128.9441247,767300.0,918500.0,30
UG _ Penta Hexa,manufacturer,BB_NCIPD,381263.66772866674,22215.09225424195,493510323.86448073,333606.0,413330.0318600002,30
UG _ Penta Hexa,manufacturer,Bharat_Biotech,759225.3333333334,77701.00607385265,6037446344.888887,647940.0,825820.0,30
UG _ Penta Hexa,manufacturer,Bilthoven,423780.41914699995,667.7928249005682,445947.25698868104,420600.0,423950.0,30
UG _ Penta Hexa,manufacturer,Biological_E,3646681.533333333,44131.12848374605,1947556501.2489016,3523690.9999999995,3688462.0000000014,30
UG _ Penta Hexa,manufacturer,China_National,442918.1171014856,23443.80652638184,549612064.4464236,414460.01065364503,498234.01065364503,30
UG _ Penta Hexa,manufacturer,GSK,693185.3333333334,41036.252162637305,1683973991.555555,659930.0,769340.0,30
UG _ Penta Hexa,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG _ Penta Hexa,manufacturer,LG_Chem,20443275.687204998,315285.6029828802,99405011448.27837,19736510.0,20747660.0,30
UG _ Penta Hexa,manufacturer,Merck_Sharp,29223.11776545817,10901.427711211105,118841126.1427614,0.7708828476188766,50418.07500000001,30
UG _ Penta Hexa,manufacturer,PT_Bio,4788851.882654999,71130.6693846961,5059572127.1149435,4637334.0,4877178.0,30
UG _ Penta Hexa,manufacturer,Panacea_Biotec,7445722.0,220517.7635837984,48628084056.0,7265670.0,7715800.0,30
UG _ Penta Hexa,manufacturer,Pfizer,2.7959392353125856,0.0036731581185936698,1.3492090564190588e-05,2.7952571469735754,2.8157197971438777,30
UG _ Penta Hexa,manufacturer,Sanofi,728161.0,5624.028449430177,31629696.0,721273.0,732753.0,30
UG _ Penta Hexa,manufacturer,Serum_Institute,505143.6290000003,15430.938241791504,238113855.02198347,487853.8000000001,525301.0000000001,30
UG No Penta Hexa,total,total,8848789.480658254,396959.763355615,157577053723.3459,8017243.914688946,9276047.674964434,30
UG No Penta Hexa,vaccine,DT,358875.0,0.0,0.0,358875.0,358875.0,30
UG No Penta Hexa,vaccine,DTwP,697202.3999999998,2.3283064365386963e-10,5.421010862427522e-20,697202.4,697202.4,30
UG No Penta Hexa,vaccine,DTwP-Hib,150829.0,0.0,0.0,150829.0,150829.0,30
UG No Penta Hexa,vaccine,HPV,57681.24540376155,32682.96087790323,1068175931.7465532,0.9613026535354373,134192.23037357838,30
