model,dimension,category,mean,std,variance,ci95,min,max,n
UG No Penta Hexa,slots_per_disease,Hib,3.0,0.0,0.0,0.0,3.0,3.0,30
UG No Penta Hexa,slots_per_disease,PCV,4.0,0.0,0.0,0.0,4.0,4.0,30
UG No Penta Hexa,slots_per_disease,Pertussis,9.0,0.0,0.0,0.0,9.0,9.0,30
UG No Penta Hexa,slots_per_disease,Polio,10.0,0.0,0.0,0.0,10.0,10.0,30
UG No Penta Hexa,slots_per_disease,Rotavirus,9.5,0.5,0.25,0.17892270211835426,9.0,10.0,30
UG No Penta Hexa,slots_per_disease,Tetanus,10.0,0.0,0.0,0.0,10.0,10.0,30
UG No Penta Hexa,overlap_per_disease,Diphtheria,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Rotavirus,0.0,0.0,0.0,0.0,0.0,0.0,30
UG No Penta Hexa,overlap_per_disease,Tetanus,0.0,0.0,0.0,0.0,0.0,0.0,30
