trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
17,Penta,Panacea_Biotec,2,4,1,0.0
17,Penta,Panacea_Biotec,2,6,2,509710.0
17,Penta,Panacea_Biotec,2,6,1,0.0
17,Penta,Panacea_Biotec,2,2,2,80280.0
17,Penta,Panacea_Biotec,2,2,1,0.0
17,Penta,Panacea_Biotec,2,3,2,172250.0
17,Penta,Panacea_Biotec,2,3,1,0.0
17,Penta,Panacea_Biotec,10,10,2,0.0
17,Penta,Panacea_Biotec,10,10,1,0.0
17,Penta,Panacea_Biotec,9,10,2,233800.0
17,Penta,Panacea_Biotec,9,10,1,0.0
17,Penta,Panacea_Biotec,9,9,2,116900.0
17,Penta,Panacea_Biotec,9,9,1,0.0
17,Penta,Panacea_Biotec,8,10,2,0.0
17,Penta,Panacea_Biotec,8,10,1,0.0
17,Penta,Panacea_Biotec,8,9,2,0.0
17,Penta,Panacea_Biotec,8,9,1,0.0
17,Penta,Panacea_Biotec,8,8,2,0.0
17,Penta,Panacea_Biotec,8,8,1,0.0
17,Penta,Panacea_Biotec,3,5,2,312530.0
17,Penta,Panacea_Biotec,3,5,1,0.0
17,Penta,Panacea_Biotec,3,4,2,195630.0
17,Penta,Panacea_Biotec,3,4,1,0.0
17,Penta,Panacea_Biotec,3,6,2,429430.0
17,Penta,Panacea_Biotec,3,6,1,0.0
17,Penta,Panacea_Biotec,3,7,2,546330.0
17,Penta,Panacea_Biotec,3,7,1,0.0
17,Penta,Panacea_Biotec,3,3,2,91970.0
17,Penta,Panacea_Biotec,3,3,1,0.0
17,Penta,Panacea_Biotec,1,5,2,0.0
17,Penta,Panacea_Biotec,1,5,1,0.0
17,Penta,Panacea_Biotec,1,4,2,0.0
17,Penta,Panacea_Biotec,1,4,1,0.0
17,Penta,Panacea_Biotec,1,2,2,0.0
17,Penta,Panacea_Biotec,1,2,1,0.0
17,Penta,Panacea_Biotec,1,3,2,0.0
17,Penta,Panacea_Biotec,1,3,1,0.0
17,Penta,Panacea_Biotec,1,1,2,0.0
17,Penta,Panacea_Biotec,1,1,1,60100.0
17,Penta,Biological_E,5,5,2,0.0
17,Penta,Biological_E,5,5,1,0.0
17,Penta,Biological_E,5,6,2,0.0
17,Penta,Biological_E,5,6,1,0.0
17,Penta,Biological_E,5,7,2,0.0
17,Penta,Biological_E,5,7,1,0.0
