model,dimension,category,mean,std,variance,min,max,n
UG-OLD,total,total,43710423.37896069,1597209.947358171,2551079615939.8916,38561438.344828375,45557928.60314154,30
UG-OLD,vaccine,DT,751336.6260716666,74401.37290486635,5535564290.128982,556712.0,852684.0,30
UG-OLD,vaccine,DTwP,397180.70855633327,105843.91641684932,11202934642.456984,146090.0,630655.5,30
UG-OLD,vaccine,DTwP-Hib,289340.83104333334,24964.96890392088,623249672.3737365,223643.0,340665.5,30
UG-OLD,vaccine,HPV,69905.70914569728,35000.476516743714,1225033356.3991284,0.9719562985972351,149244.28565364506,30
UG-OLD,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG-OLD,vaccine,Hexa,556982.3626666667,19791.66841372533,391710138.5988529,501326.0,567490.0,30
UG-OLD,vaccine,IPV,7937973.586321999,456838.89431532833,208701775359.25174,6822623.722049999,8848010.0,30
UG-OLD,vaccine,OPV,4734874.41714095,776223.9553508706,602523628860.5504,3241639.3262385027,5735237.0,30
UG-OLD,vaccine,PCV,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-OLD,vaccine,Penta,26050712.578628667,997562.7831191011,995131506264.3268,23102953.426260002,27011837.5,30
UG-OLD,vaccine,Rotavirus,794064.3360393334,95065.26962665719,9037405489.18903,536750.0,1019500.0,30
UG-OLD,vaccine,TT,460792.1584146666,105390.53257954287,11107164357.399685,244165.0,896087.3400000001,30
UG-OLD,vaccine,Td,1667256.6458956667,92610.53027363073,8576710317.563076,1372044.3599999999,1866459.53374,30
UG-OLD,manufacturer,AJ_Vaccines,774959.8200312774,185616.8507132281,34453615268.69681,360600.0,918500.0,30
UG-OLD,manufacturer,BB_NCIPD,389293.8,32943.55776313988,1085277998.0933335,302848.0,439236.0,30
UG-OLD,manufacturer,Bharat_Biotech,682886.0,59066.76632421992,3488882884.0,603640.0,825820.0,30
UG-OLD,manufacturer,Bilthoven,404153.35307738936,28090.904857625315,789098935.7201575,360500.0,423950.0,30
UG-OLD,manufacturer,Biological_E,3662290.6666666665,143539.52249150365,20603594517.088882,3267903.0,3821005.0,30
UG-OLD,manufacturer,China_National,388010.17914290755,59957.13976479981,3594858608.7757387,310920.01065364503,518100.01065364503,30
UG-OLD,manufacturer,GSK,704494.6666666666,85996.4955384165,7395397244.888887,607870.0,901190.0,30
UG-OLD,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-OLD,manufacturer,LG_Chem,19791240.41321333,739491.2584220796,546847321282.67096,17579390.0,20747660.0,30
UG-OLD,manufacturer,Merck_Sharp,26290.207544073088,12761.615075765152,162858819.3419964,0.9613026535354373,49000.19962342987,30
UG-OLD,manufacturer,PT_Bio,5730673.832622,220834.8698098696,48768039723.94205,5118156.0,5881718.000000001,30
UG-OLD,manufacturer,Panacea_Biotec,9864818.097627334,590735.6389036133,348968595070.8602,8153650.0,10462010.0,30
UG-OLD,manufacturer,Pfizer,3.4190357169096917,0.5456949175318524,0.2977829430200952,2.7952571469735754,4.938771423132954,30
UG-OLD,manufacturer,Sanofi,713985.5333333333,27509.071574946975,756749018.9155556,639345.0,732753.0,30
UG-OLD,manufacturer,Serum_Institute,496123.3900000001,20614.754703130326,424968111.47023386,444165.39999999997,525301.0,30
UG_No_W,total,total,115543591.12568031,5059613.652393986,25599690311491.605,106843710.78889883,130330333.65501618,30
UG_No_W,vaccine,DT,1693038.0024083334,287804.90726946393,82831664648.38472,1235969.0,2215497.0,30
UG_No_W,vaccine,DTwP,1319805.110250006,163100.4528833684,26601757730.75987,930026.0,1722497.0,30
UG_No_W,vaccine,DTwP-Hib,369063.4860980002,201206.18602051173,40483929292.92077,0.0,633481.8000000002,30
UG_No_W,vaccine,HPV,17411.73225524616,31121.86102913033,968570233.9165013,1.950216177110633,136511.52709902948,30
UG_No_W,vaccine,HepB,0.0,0.0,0.0,0.0,0.0,30
UG_No_W,vaccine,Hexa,418868.08677899925,226758.3487299055,51419348718.71343,139391.0,833390.0,30
UG_No_W,vaccine,IPV,31007042.853984315,4932391.447849033,24328485394814.285,21080275.0,44541012.74511,30
UG_No_W,vaccine,OPV,8220364.440683793,606986.9627838735,368433172989.59143,7275395.0,9694439.5,30
UG_No_W,vaccine,PCV,15.661827414593521,1.462214138409825,2.1380701865655873,15.338682682030237,23.529928988584977,30
UG_No_W,vaccine,Penta,55687338.6432707,1491930.6554564624,2225857080690.7495,51064630.34237996,57257955.0,30
UG_No_W,vaccine,Rotavirus,9243287.514618523,139891.32417879975,19569582580.498043,9065174.851180026,9518574.0,30
UG_No_W,vaccine,TT,3370285.067720708,994965.1910351659,989955731371.6442,1167098.0,4937732.91,30
UG_No_W,vaccine,Td,4197070.525784265,478015.894580859,228499195471.9389,3389451.0,4901049.19835,30
UG_No_W,manufacturer,AJ_Vaccines,27394415.81206047,5100069.900079277,26010712985694.652,18338210.0,40778648.92975336,30
UG_No_W,manufacturer,BB_NCIPD,2017015.0,4.498715433661341e-10,2.023844055306275e-19,2017014.9999999986,2017015.0000000014,30
UG_No_W,manufacturer,Bharat_Biotech,8554399.99441592,0.030071186537645123,0.0009042762597818493,8554399.832477625,8554400.000000002,30
UG_No_W,manufacturer,Bilthoven,3350910.616784897,1504463.345924205,2263409959229.4536,2020867.764167817,9629200.0,30
UG_No_W,manufacturer,Biological_E,5271379.115122395,200213.32241385189,40085374471.99301,4797784.653671848,5483310.0,30
UG_No_W,manufacturer,China_National,1414455.568971701,72435.17834669998,5246855062.118234,1139376.0,1441770.0,30
