manufacturer,discount_level,quantity,market_share_pct
AJ_Vaccines,1,10577601.00567399,4.669498289800069
AJ_Vaccines,2,12743322.374758316,1.1783770614409617
BB_NCIPD,1,11762541.000000004,5.192591879173785
BB_NCIPD,2,0.0,0.0
Bharat_Biotech,1,17496859.999999993,7.724015852275504
Bharat_Biotech,2,2784599.9999999995,0.25749240808566876
Bilthoven,1,10840733.918582235,4.785658720332102
Bilthoven,2,1193599.9999999993,0.11037238321161173
Biological_E,1,33460005.55252164,14.77097109452231
Biological_E,2,76587061.44747841,7.082017841096136
China_National,1,10837587.006992113,4.784269511353589
China_National,2,1029560.0000000003,0.09520357813283101
GSK,1,20514030.000000007,9.05595020558291
GSK,2,0.0,0.0
Haffkine_Bio,1,2436000.000000001,1.0753759598089683
Haffkine_Bio,2,0.0,0.0
LG_Chem,1,3722825.978888606,1.6434472743222885
LG_Chem,2,588251885.8259536,54.3957461187462
Merck_Sharp,1,692686.6122915115,0.30578757411322105
Merck_Sharp,2,0.0,0.0
PT_Bio,1,60786794.07710637,26.834424065836753
PT_Bio,2,110628637.32000007,10.229847815400023
Panacea_Biotec,1,7097560.53385868,3.133229052299067
Panacea_Biotec,2,288211275.2589032,26.65094279388656
Pfizer,1,104.62637115005585,4.6187473028251473e-05
Pfizer,2,0.0,0.0
Sanofi,1,21455924.000000004,9.471750765635578
Sanofi,2,0.0,0.0
Serum_Institute,1,14844174.099999996,6.552983567470819
Serum_Institute,2,0.0,0.0
