unit,values,type,pair_idx,pair,pair_probability
Measles,"[420097004.28939533 368299543.3821963 405492086.93502706 355437672.1480285
 387763440.53392655 418488316.4612758 278842997.107723 397029089.4291264
 298359781.39149034 335631994.04001856]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Mumps,"[357331305.3951636 260869729.0725358 312846193.9051979 284369932.411924
 299213686.82466215 396979348.5165761 266069612.36597544 396105087.8736147
 297411369.3627394 334654742.7247464]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Rubella,"[331279149.4189564 233524417.62887722 286364562.4296617 258419593.155864
 275041967.2127786 380336386.3026387 246915621.14448732 386954898.42531806
 286403511.07822484 321326687.20403224]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Diphtheria,"[570550152.3038142 636267493.3239245 643369696.6070285 610548331.2189047
 612071667.3667012 602955044.4984419 609098005.830808 604125486.3658876
 611064389.6977195 616666144.0423414]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Tetanus,"[577730183.053466 643262431.1829407 650376997.457045 617569069.3380963
 615042447.4861296 605971200.9508419 612158027.728013 607226022.6514009
 614204184.1536994 619839029.9086429]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Pertussis,"[320662741.753207 356794202.2936529 361981121.23909605 345048428.60892624
 343896351.26947916 336892783.44739443 340180910.30911165 337469874.2925558
 340711626.78069687 343641293.0270527]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Hepatitis_B,"[59502552.14408625 68629024.71901894 72865268.80804664 68936698.3000516
 68116933.6264009 66375003.21328669 67235123.37105815 65839715.532202356
 66632012.575853065 67012501.776094265]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Hib,"[522182008.8920537 597901203.8830113 625064822.6212021 606638204.7128298
 607720572.8583848 587960566.202015 134356377.91094553 132282803.91718172
 134638983.21643308 136848675.98947772]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Polio,"[522182008.8920537 597901203.8830113 625064822.6212021 606638204.7128298
 607720572.8583848 587960566.202015 134356377.91094553 132282803.91718172
 134638983.21643308 136848675.98947772]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
HPV,"[18988209.72133722 19286890.403623413 28201395.981749475 74816423.55173364
 95172711.54246174 66450775.624775775 43377372.99142657 43512381.92054419
 34641189.472128965 35984585.712862946]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
Rotavirus,"[142479003.3677863 170915478.97005376 178442683.0763382 191359235.90420714
 203005331.3863934 211204939.45211437 215210771.23504257 212954149.96250454
 215265657.58980373 217521514.4431669]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
PCV,"[160800233.02991807 192044991.15730911 214812933.47590438 211498789.45455238
 226965632.48700902 225022459.42204043 228272436.549378 223203631.93549865
 224671214.18606165 226180575.91757733]",antigen,1,Demand: 1 - Capacity: base_capacity,1.0
AJ_Vaccines,"[8173000.000000001, 11220000.0, 13090000.000000002, 13090000.000000002, 12980000.000000002, 12870000.000000002, 13090000.000000002, 12870000.000000002, 13090000.000000002, 13310000.000000002]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
BB_NCIPD,"[57200000.00000001, 63580000.00000001, 64020000.00000001, 60500000.00000001, 60280000.00000001, 59950000.00000001, 60390000.00000001, 59950000.00000001, 60720000.00000001, 61380000.00000001]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Bharat_Biotech,"[75339000.0, 83358000.0, 84843000.0, 82170000.0, 82665000.0, 79893000.0, 5346000.0, 5286600.0, 5346000.0, 5405400.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Bilthoven,"[12760000.000000002, 17490000.0, 20460000.0, 20350000.0, 20350000.0, 20020000.0, 20460000.0, 20130000.0, 20460000.0, 20790000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Biological_E,"[183700000.0, 204600000.00000003, 206800000.00000003, 196900000.00000003, 194700000.00000003, 190300000.00000003, 742500000.0000001, 739200000.0000001, 742500000.0000001, 744700000.0000001]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
China_National,"[15290000.000000002, 16720000.000000002, 17380000.0, 18700000.0, 19470000.0, 17710000.0, 1749000.0000000002, 1749000.0000000002, 1397000.0, 1452000.0000000002]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
GSK,"[353100000.0, 370700000.00000006, 405900000.00000006, 411400000.00000006, 436700000.00000006, 470800000.00000006, 394900000.00000006, 432300000.00000006, 404800000.00000006, 418000000.00000006]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Haffkine_Bio,"[112200000.00000001, 123200000.00000001, 125400000.00000001, 121000000.00000001, 121000000.00000001, 116600000.00000001, 0.0, 0.0, 0.0, 0.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
LG_Chem,"[87230000.0, 99550000.00000001, 103400000.00000001, 98450000.00000001, 98010000.00000001, 96140000.00000001, 97350000.00000001, 95920000.00000001, 97130000.00000001, 98120000.00000001]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Merck_Sharp,"[18590000.0, 18810000.0, 27500000.000000004, 73040000.0, 92950000.00000001, 64900000.00000001, 42350000.0, 42460000.0, 33770000.0, 35090000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
PT_Bio,"[15400000.000000002, 17160000.0, 17490000.0, 16720000.000000002, 16720000.000000002, 16390000.000000002, 15180000.000000002, 15070000.000000002, 15290000.000000002, 15400000.000000002]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Panacea_Biotec,"[99660000.00000001, 118800000.00000001, 133100000.00000001, 130900000.00000001, 140800000.0, 139700000.0, 141900000.0, 138600000.0, 139700000.0, 139700000.0]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Pfizer,"[68420000.0, 82280000.0, 80410000.0, 73590000.0, 76780000.0, 64570000.00000001, 48400000.00000001, 45980000.0, 46640000.00000001, 47080000.00000001]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
Sanofi,"[99550000.00000001, 128700000.00000001, 144100000.0, 143000000.0, 143000000.0, 140800000.0, 109890000.00000001, 108130000.00000001, 110000000.00000001, 112200000.00000001]",manufacturer,1,Demand: 1 - Capacity: base_capacity,1.0
