trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
30,Rotavirus,Bharat_Biotech,2,3,2,0.0
30,Rotavirus,Bharat_Biotech,2,3,1,0.0
30,Rotavirus,Bharat_Biotech,10,10,2,71400.0
30,Rotavirus,Bharat_Biotech,10,10,1,0.0
30,Rotavirus,Bharat_Biotech,9,10,2,0.0
30,Rotavirus,Bharat_Biotech,9,10,1,0.0
30,Rotavirus,Bharat_Biotech,9,9,2,0.0
30,Rotavirus,Bharat_Biotech,9,9,1,60100.0
30,Rotavirus,Bharat_Biotech,8,10,2,0.0
30,Rotavirus,Bharat_Biotech,8,10,1,0.0
30,Rotavirus,Bharat_Biotech,8,9,2,0.0
30,Rotavirus,Bharat_Biotech,8,9,1,0.0
30,Rotavirus,Bharat_Biotech,8,8,2,0.0
30,Rotavirus,Bharat_Biotech,8,8,1,60100.0
30,Rotavirus,Bharat_Biotech,3,5,2,0.0
30,Rotavirus,Bharat_Biotech,3,5,1,0.0
30,Rotavirus,Bharat_Biotech,3,4,2,0.0
30,Rotavirus,Bharat_Biotech,3,4,1,0.0
30,Rotavirus,Bharat_Biotech,3,6,2,0.0
30,Rotavirus,Bharat_Biotech,3,6,1,0.0
30,Rotavirus,Bharat_Biotech,3,7,2,0.0
30,Rotavirus,Bharat_Biotech,3,7,1,0.0
30,Rotavirus,Bharat_Biotech,3,3,2,0.0
30,Rotavirus,Bharat_Biotech,3,3,1,60100.0
30,Rotavirus,Bharat_Biotech,1,5,2,0.0
30,Rotavirus,Bharat_Biotech,1,5,1,0.0
30,Rotavirus,Bharat_Biotech,1,4,2,0.0
30,Rotavirus,Bharat_Biotech,1,4,1,0.0
30,Rotavirus,Bharat_Biotech,1,2,2,0.0
30,Rotavirus,Bharat_Biotech,1,2,1,0.0
30,Rotavirus,Bharat_Biotech,1,3,2,0.0
30,Rotavirus,Bharat_Biotech,1,3,1,0.0
30,Rotavirus,Bharat_Biotech,1,1,2,0.0
30,Rotavirus,Bharat_Biotech,1,1,1,60100.0
30,Rotavirus,GSK,5,5,2,0.0
30,Rotavirus,GSK,5,5,1,0.0
30,Rotavirus,GSK,5,6,2,0.0
30,Rotavirus,GSK,5,6,1,0.0
30,Rotavirus,GSK,5,7,2,0.0
30,Rotavirus,GSK,5,7,1,0.0
30,Rotavirus,GSK,5,9,2,0.0
30,Rotavirus,GSK,5,9,1,0.0
30,Rotavirus,GSK,5,8,2,0.0
30,Rotavirus,GSK,5,8,1,0.0
30,Rotavirus,GSK,4,5,2,0.0
30,Rotavirus,GSK,4,5,1,2320.0
30,Rotavirus,GSK,4,4,2,0.0
30,Rotavirus,GSK,4,4,1,2320.0
30,Rotavirus,GSK,4,6,2,0.0
30,Rotavirus,GSK,4,6,1,0.0
30,Rotavirus,GSK,4,7,2,0.0
30,Rotavirus,GSK,4,7,1,0.0
30,Rotavirus,GSK,4,8,2,0.0
30,Rotavirus,GSK,4,8,1,0.0
30,Rotavirus,GSK,6,6,2,0.0
30,Rotavirus,GSK,6,6,1,36400.0
30,Rotavirus,GSK,6,7,2,0.0
30,Rotavirus,GSK,6,7,1,0.0
30,Rotavirus,GSK,6,10,2,0.0
30,Rotavirus,GSK,6,10,1,0.0
30,Rotavirus,GSK,6,9,2,0.0
30,Rotavirus,GSK,6,9,1,0.0
30,Rotavirus,GSK,6,8,2,0.0
30,Rotavirus,GSK,6,8,1,0.0
30,Rotavirus,GSK,7,7,2,0.0
30,Rotavirus,GSK,7,7,1,36400.0
30,Rotavirus,GSK,7,10,2,0.0
30,Rotavirus,GSK,7,10,1,0.0
30,Rotavirus,GSK,7,9,2,0.0
30,Rotavirus,GSK,7,9,1,0.0
30,Rotavirus,GSK,7,8,2,0.0
30,Rotavirus,GSK,7,8,1,0.0
30,Rotavirus,GSK,2,5,2,0.0
30,Rotavirus,GSK,2,5,1,0.0
30,Rotavirus,GSK,2,4,2,0.0
30,Rotavirus,GSK,2,4,1,0.0
30,Rotavirus,GSK,2,6,2,0.0
30,Rotavirus,GSK,2,6,1,0.0
30,Rotavirus,GSK,2,2,2,0.0
30,Rotavirus,GSK,2,2,1,27740.0
30,Rotavirus,GSK,2,3,2,0.0
30,Rotavirus,GSK,2,3,1,0.0
30,Rotavirus,GSK,10,10,2,0.0
30,Rotavirus,GSK,10,10,1,36400.0
30,Rotavirus,GSK,9,10,2,0.0
30,Rotavirus,GSK,9,10,1,0.0
30,Rotavirus,GSK,9,9,2,0.0
30,Rotavirus,GSK,9,9,1,36400.0
30,Rotavirus,GSK,8,10,2,0.0
30,Rotavirus,GSK,8,10,1,0.0
30,Rotavirus,GSK,8,9,2,0.0
30,Rotavirus,GSK,8,9,1,0.0
30,Rotavirus,GSK,8,8,2,0.0
30,Rotavirus,GSK,8,8,1,36400.0
30,Rotavirus,GSK,3,5,2,0.0
30,Rotavirus,GSK,3,5,1,0.0
30,Rotavirus,GSK,3,4,2,0.0
30,Rotavirus,GSK,3,4,1,2320.0
30,Rotavirus,GSK,3,6,2,0.0
30,Rotavirus,GSK,3,6,1,0.0
30,Rotavirus,GSK,3,7,2,0.0
30,Rotavirus,GSK,3,7,1,0.0
30,Rotavirus,GSK,3,3,2,0.0
30,Rotavirus,GSK,3,3,1,0.0
30,Rotavirus,GSK,1,5,2,0.0
30,Rotavirus,GSK,1,5,1,60100.0
30,Rotavirus,GSK,1,4,2,0.0
30,Rotavirus,GSK,1,4,1,0.0
30,Rotavirus,GSK,1,2,2,0.0
30,Rotavirus,GSK,1,2,1,0.0
30,Rotavirus,GSK,1,3,2,0.0
30,Rotavirus,GSK,1,3,1,57780.0
30,Rotavirus,GSK,1,1,2,0.0
30,Rotavirus,GSK,1,1,1,30040.0
30,TT,Serum_Institute,5,5,2,0.0
30,TT,Serum_Institute,5,5,1,0.0
30,TT,Serum_Institute,5,6,2,0.0
30,TT,Serum_Institute,5,6,1,0.0
30,TT,Serum_Institute,5,7,2,0.0
30,TT,Serum_Institute,5,7,1,0.0
30,TT,Serum_Institute,5,9,2,0.0
