vaccine,discount_level,participation_rate,total_quantity,avg_quantity
DT,1,53.666666666666664,42769192.05791999,17820.496690799995
DT,2,0.04166666666666667,60000.0,25.0
DTwP,1,42.375,27491462.036499836,11454.775848541598
DTwP,2,0.2916666666666667,457263.0,190.52625
DTwP-Hib,1,88.83333333333333,11104141.455119789,9253.451212599824
DTwP-Hib,2,0.0,0.0,0.0
HPV,1,6.055555555555555,5248152.705,1457.8201958333334
HPV,2,0.027777777777777776,60000.0,16.666666666666668
HepB,1,1.5416666666666667,2178833.897931096,907.8474574712901
HepB,2,0.0,0.0,0.0
Hexa,1,89.83333333333333,26921860.0,22434.883333333335
Hexa,2,0.0,0.0,0.0
IPV,1,25.624999999999996,39357584.538819954,8199.496778920824
IPV,2,22.125,380800516.46376,79333.44092995
OPV,1,27.270833333333332,65029573.55541386,6773.913912022277
OPV,2,7.781250000000001,117883208.35195813,12279.500869995638
PCV,1,1.1944444444444444,2297130.0,638.0916666666667
PCV,2,0.0,0.0,0.0
Penta,1,21.099999999999998,21033172.82864343,3505.528804773905
Penta,2,68.03333333333333,1272856252.713991,212142.70878566516
Rotavirus,1,17.194444444444446,28298790.69559,7860.775193219444
Rotavirus,2,1.638888888888889,4875200.0,1354.2222222222222
TT,1,16.25,23836226.635619994,4965.880549087498
TT,2,0.0,0.0,0.0
Td,1,48.041666666666664,68609353.82767287,14293.61538076518
Td,2,0.020833333333333336,60000.0,12.5
