vaccine,producer,time,segment,Z_value,end_time,Q_value,trial,T,delta,scenario,inv,cap,cap_inc,filename
DT,BB_NCIPD,7,1,1.0,10,35490.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,2,0.0,7,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,7,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,1,1.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,8,2,0.0,8,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,9,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,9,1,1.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,9,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,9,2,0.0,9,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,10,1,1.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,BB_NCIPD,10,2,0.0,10,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,1,1.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,1,1.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,1,1.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,1,1.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,1,1.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,2,0.0,5,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,2,0.0,4,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,2,0.0,2,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,2,0.0,3,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
DT,PT_Bio,1,2,0.0,1,0.0,1,10,5,1,1,1,1,MVP_DE_results_T_10_delta_5_scen_1_trial_1_inv_1_cap._1_cap.inc._1.json
