vaccine,producer,time,X_val
Penta,Panacea_Biotec,3,116900.0
Penta,Panacea_Biotec,1,60100.0
Penta,Biological_E,5,53270.0
Penta,Biological_E,4,53270.0
Penta,Biological_E,6,53270.0
Penta,Biological_E,7,40069.0
Penta,Biological_E,2,53270.0
Penta,Biological_E,8,45354.0
Penta,Biological_E,3,53270.0
Penta,Biological_E,1,53270.0
Penta,PT_Bio,5,63420.0
Penta,PT_Bio,4,63420.0
Penta,PT_Bio,6,63420.0
Penta,PT_Bio,7,63420.0
Penta,PT_Bio,2,63420.0
Penta,PT_Bio,10,63420.0
Penta,PT_Bio,9,63420.0
Penta,PT_Bio,8,63420.0
Penta,PT_Bio,3,63420.0
Penta,PT_Bio,1,59762.0
DTwP,Serum_Institute,10,5201.0
DTwP,Serum_Institute,9,4680.9000000000015
DTwP,Biological_E,5,19905.0
DTwP,Biological_E,6,12395.0
DTwP,Biological_E,10,35305.0
DTwP,Biological_E,9,12410.0
OPV,China_National,6,43540.0
OPV,China_National,7,43540.0
OPV,China_National,2,43540.0
OPV,China_National,10,43540.0
OPV,China_National,9,43540.0
OPV,China_National,8,16560.0
OPV,China_National,1,16560.0
OPV,Panacea_Biotec,4,13650.0
OPV,Panacea_Biotec,7,16680.0
OPV,Panacea_Biotec,2,16680.0
OPV,Panacea_Biotec,10,116900.0
OPV,Panacea_Biotec,9,105210.0
OPV,Panacea_Biotec,8,116900.0
OPV,Panacea_Biotec,3,29770.0
OPV,Panacea_Biotec,1,48490.0
OPV,Sanofi,5,4865.0
OPV,Sanofi,4,3892.0
OPV,Sanofi,6,5838.0
OPV,Sanofi,2,1946.0
OPV,Sanofi,10,924.0
OPV,Sanofi,3,2919.0
OPV,Sanofi,1,973.0
OPV,Bharat_Biotech,5,52600.0
OPV,Bharat_Biotech,4,18980.0
OPV,Bharat_Biotech,6,7500.0
OPV,Bharat_Biotech,2,25580.0
OPV,Bharat_Biotech,10,7420.0
OPV,Bharat_Biotech,9,11580.0
OPV,Bharat_Biotech,8,60100.0
OPV,Bharat_Biotech,3,41120.0
OPV,Bharat_Biotech,1,18440.0
OPV,Haffkine_Bio,5,8120.0
OPV,Haffkine_Bio,4,8120.0
OPV,Haffkine_Bio,6,8120.0
OPV,Haffkine_Bio,7,8120.0
OPV,Haffkine_Bio,2,8120.0
OPV,Haffkine_Bio,10,8120.0
OPV,Haffkine_Bio,9,8120.0
OPV,Haffkine_Bio,8,8120.0
OPV,Haffkine_Bio,3,8120.0
OPV,Haffkine_Bio,1,8120.0
OPV,GSK,4,7060.0
OPV,GSK,6,13590.0
OPV,GSK,7,17510.0
OPV,GSK,2,21380.0
OPV,GSK,10,29060.0
OPV,GSK,9,25000.0
OPV,GSK,8,23570.0
OPV,GSK,3,31660.0
OPV,PT_Bio,9,41670.00000000002
