model,dimension,category,mean,std,variance,min,max,n
UG,total,total,8848789.312603133,396959.8089577427,157577089927.76758,8017243.6529855775,9276047.674964435,30
UG,vaccine,DT,358875.0,4.7526356119646576e-11,2.2587545260114674e-21,358874.99999999977,358875.0000000001,30
UG,vaccine,DTwP,697202.3999999998,2.3379875861406433e-10,5.466185952947751e-20,697202.3999999994,697202.4,30
UG,vaccine,DTwP-Hib,150829.0,0.0,0.0,150829.0,150829.0,30
UG,vaccine,HPV,57681.27399262671,32682.94995385051,1068175217.6858971,0.9719562985972351,134192.23037357838,30
UG,vaccine,HepB,916229.5080666635,75075.20633339637,5636286606.00204,772398.1233999894,1064511.9033999983,30
UG,vaccine,IPV,2897710.9255183325,291708.1027961165,85093617236.90968,2238863.5583699998,3104007.0,30
UG,vaccine,OPV,2109188.6304056686,229100.17886098492,52486891954.13528,1871196.9999999977,2463017.3262385027,30
UG,vaccine,PCV,2.807812363947805,0.046977320405969594,0.002206868632525127,2.7952571468725647,2.9835854018556485,30
UG,vaccine,Rotavirus,891158.7668074765,157353.996269334,24760280141.929573,612580.3851160198,1053900.3851160207,30
UG,vaccine,TT,7.761021455128988e-12,4.179437960757644e-11,1.746770166782201e-21,0.0,2.3283064365386963e-10,30
UG,vaccine,Td,769911.0,5.206251464550825e-11,2.7105054312137612e-21,769910.9999999999,769911.0000000002,30
UG,manufacturer,AJ_Vaccines,1052159.9104879436,103071.88395910306,10623813262.878805,687230.55837,1098800.0,30
UG,manufacturer,BB_NCIPD,183365.0,0.0,0.0,183365.0,183365.0,30
UG,manufacturer,Bharat_Biotech,926029.9999999998,75250.00000000004,5662562500.000006,850779.9999999967,1001280.0,30
UG,manufacturer,Bilthoven,597339.9133563892,18881.294901684236,356503297.16436714,540900.1974405572,604250.0,30
UG,manufacturer,Biological_E,729317.0,1.2752659560767144e-10,1.6263032587282566e-20,729316.9999999993,729317.0,30
UG,manufacturer,China_National,465558.6300158032,18924.23365562321,358126619.4526223,441440.0319609352,503404.05326822493,30
UG,manufacturer,GSK,819300.225186065,0.15789431952628674,0.024930616138669134,819300.0,819300.3851160207,30
UG,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG,manufacturer,LG_Chem,2143237.6097406633,241900.03654559157,58515627680.75854,1736030.0633999994,2444111.903399999,30
UG,manufacturer,Merck_Sharp,33562.82855912037,14849.939392937184,220520699.9739076,0.9613026535354373,72228.0536927103,30
UG,manufacturer,PT_Bio,828010.0,2.1254432601278573e-11,4.517509052022935e-22,828009.9999999999,828010.0,30
