manufacturer,discount_level,quantity,market_share_pct
AJ_Vaccines,1,16227000.0,4.67010229832926
AJ_Vaccines,2,15098393.91323,0.9219750471074943
BB_NCIPD,1,20117580.0,5.78980443673031
BB_NCIPD,2,0.0,0.0
Bharat_Biotech,1,25021365.508819997,7.201105353428036
Bharat_Biotech,2,6095600.0,0.37222443191284826
Bilthoven,1,16527500.0,4.756585674224246
Bilthoven,2,1520399.9999999998,0.0928423824201546
Biological_E,1,50743379.56719884,14.60385613741106
Biological_E,2,128542496.45626,7.8493762254889905
China_National,1,12634178.125,3.6360944289803263
China_National,2,708320.0,0.04325316779521436
GSK,1,22600300.0,6.504326922593872
GSK,2,0.0,0.0
Haffkine_Bio,1,2428692.0,0.6989733216943296
Haffkine_Bio,2,0.0,0.0
LG_Chem,1,5529200.000000004,1.5912941164677488
LG_Chem,2,1020259088.1464599,62.30155513636666
Merck_Sharp,1,3131723.3449999997,0.9013045166214269
Merck_Sharp,2,0.0,0.0
PT_Bio,1,78167903.27885705,22.496586230244013
PT_Bio,2,152223599.99999997,9.295449674146703
Panacea_Biotec,1,33124739.198120236,9.533242168034672
Panacea_Biotec,2,313166260.4136307,19.123323934761927
Pfizer,1,2529220.0000000005,0.7279051047624534
Pfizer,2,0.0,0.0
Sanofi,1,34232940.0,9.85218042599172
Sanofi,2,0.0,0.0
Serum_Institute,1,24449901.0,7.036638864486526
Serum_Institute,2,0.0,0.0
