unit,values,type,pair_idx,pair,pair_probability
PCV,"[217304000 262275300 327108600 328942400 372129800 353796500 370562100
 492289800 466028200 179323800]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Pertussis,"[376053500 329574100 385604700 351618800 410530100 375193000 363350500
 364705100 397681100 335678000]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Polio,"[629319000 636390100 756892800 753580500 795712200 761560800 823600500
 812364000 750291200 951616700]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Rotavirus,"[185622400 219556000 256011100 228026000 455555300 366778100 385080400
 482266900 714517200 1041382600]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Rubella,"[354209400 444952700 440196700 602098200 602205300 567084600 437763600
 605256900 851193600 458658300]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Tetanus,"[649813800 621341400 724413900 721858700 673652300 688070200 637263500
 692825800 620957100 607789000]",antigen,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.06936432000000001
Diphtheria,"[596906900 558336500 812533400 660834400 686912400 1059413800 1410783900
 1252908300 953910300 1577938400]",antigen,3,Demand: 4 - Capacity: base_capacity,0.06498696000000001
